commentId,brewerId,brewerName,date,comment,replyIds
16546,46445,Brewer_,"December 15, 2013  4:32am","According to this recipe you are steeping wheat malt, which does not make much sense unless you are actually doing an infusion mash maybe?",['22163']
22163,507,Samuel Neitzke,"June 11, 2015  5:08pm",I threw that in there a long while back. When I went from Extract to partial mash. at that time BT didnt have a PM option. I havent really updated it as i'm working on an AG version. Anyone already doing extract should 100% try Partial mashes. all you need is a slightly larger nylong grain bag. i could figure out a substitution (two row instead of a % of extract) if youd like.,[]
16621,43850,JuGordon,"December 22, 2013 11:43pm",Do you find that four ounces of Citra is a bit much in DH?,['22162']
22162,507,Samuel Neitzke,"June 11, 2015  5:03pm",nope :-) Feel free to try less though.,[]
16651,45853,warm_sweater,"December 27, 2013  6:40pm",How long and at what temperature did you steep your grains for?,"['17158', '22164']"
17158,50170,Ari,"February 02, 2014  2:31pm","I'm just learning, but standard is around 155 F for 30 minutes.",[]
22164,507,Samuel Neitzke,"June 11, 2015  5:09pm",155 @ 30 mins.,[]
17167,507,Samuel Neitzke,"February 02, 2014 10:10pm","Hey all Thanks for the great questions.

White wheat is added as an adjunct with the specialty grains. It definitely helps with head retention and adds a little body (not as much as if I did a partial mash or in an AG batch, but the effect is noticeable). I also get hints of biscuit and doughy notes in the nose. Definitely let me know if you have varying results though, I'm always open to new data!
Rev 1 I did a 30 minute steep @ 155-160. Rev 2 and 3 I did a 45 minute steep and sparged the grains. which worked really well, and the difference was notable. you shouldn't need more than 45 mins to get a solid conversion, my guess is that the improvement came from sparging (pouring water @ 155 through the grains into the wort after the steep. 
4 ounces might be too much, who knows. I wanted a nose that punched you in the face with citrus, grapefruit and floral aroma, and that's what I got. The insane aroma from this beer really does change your perceived flavor (combination of flavor and aroma while tasting). try it with less if you want, but my results have been phenominal. :-)",['17698']
17698,40253,BeaverDawg Brews,"March 20, 2014  5:39pm",Truly a great recipe.  Thanks for sharing...!,['22165']
22165,507,Samuel Neitzke,"June 11, 2015  5:09pm",Glad you like it!,[]
17931,53343,Adirondack47,"April 14, 2014 11:45pm",Did you use a starter for your recipe?,"['17953', '18422', '22166']"
17953,2,Kyle Kestell,"April 17, 2014  6:42pm","For a beer this big, you should most certainly make a starter. The fermentation tab in the recipe editor can tell you how many cells you need.",[]
18422,507,Samuel Neitzke,"June 08, 2014  7:03am","A Wyeast smack pack got me where i needed to be with attenuation my first rev around. a started is never a bad idea though. it will always give you a quicker, healthier ferm.",[]
22166,507,Samuel Neitzke,"June 11, 2015  5:10pm","no, wyeast smack pack. but i wont discourage anyone from using a starter",[]
18462,55335,tittysprinkle,"June 12, 2014  2:44am","Do you prefer boiling the DME ingredients the full 60 minutes, or do you add them at a midway point in the boil? I am reading some different opinions regarding boil time for DME's and how long boiling may cause darkening of the beer as well as changing the flavor slightly. Just curious if you had an opinion in the matter, otherwise I assume add the DME at the start of the boil along with first hops. Cheers!","['19149', '22167']"
19149,33044,trujunglist,"August 14, 2014  9:02pm","Not OP, but adding extract (DME or LME) late in the boil is pretty common to avoid changes in flavor and color. You could theoretically change this recipe to do that; just match the IBUs (will require more hops because longer boils mean better utilization). All of my newer recipes are 20-30 minute boils.",[]
22167,507,Samuel Neitzke,"June 11, 2015  5:11pm","Nah I just throw it in beginning of the boil. I dont want to have to deal with adding it mid boil, possible scorching and boil overs. I prefer getting all my extract getting good and mixed pre-boil.",[]
18701,55978,Chris Reed,"July 03, 2014  1:28am",How much water did you start with in your kettle to get to the desired final batch size?,['22168']
22168,507,Samuel Neitzke,"June 11, 2015  5:12pm","So when i was doing this extract recipe, I was doing 4 gal boils and topping off with spring water. id suggest using beersmith to calculate your boil off for a full boil.",[]
18812,56339,Tommy,"July 14, 2014  9:49pm","My FG ended up being pretty high (1.080), so I ended up topping off with water with another 40oz of water. Also, the first 4-5 days in the primary the yeast was really active, but has now it's almost completely died down. 
Few questions:
* How long did everyone end up keeping the beer in their primary? 
* Did you rack to secondary?
* If you're bottling, how much priming sugar did you use?
This beer is smelling awesome so far.","['19208', '20738']"
