commentId,brewerId,brewerName,date,comment,replyIds
20050,35672,jclark1031,"November 20, 2014  2:54pm","OG is close to expected, FG is high though, should attenuate a bit more.",[]
20051,35672,jclark1031,"November 20, 2014  2:55pm",moved effic and it did take the OG up,[]
20048,35672,jclark1031,"November 20, 2014  2:50pm","switching to all vriess 2 romw, drops the srm and no more malt flavor needed from the base with the 20% other malts in there.",[]
20049,35672,jclark1031,"November 20, 2014  2:51pm","23 grams of dry for this, why is the OG low?  need to look at old recipe to confirm.",['20074']
20074,35672,jclark1031,"November 22, 2014  1:47pm",24 grams,[]
20117,35672,jclark1031,"November 25, 2014  4:07pm","changed the grain to us 120, they didnt have any 150, going with single infusion, 150-152 goal",[]
20118,35672,jclark1031,"November 25, 2014  5:38pm","154 mash, dropped to 149 by the end, 60 minutes. pull 7-7.5",[]
20127,35672,jclark1031,"November 26, 2014  3:52am",1072 OG,[]
20129,35672,jclark1031,"November 26, 2014  3:59am",used c 120 US (instead of 150) and us choc 350 (instead of choc 425),[]
20344,35672,jclark1031,"December 21, 2014  1:54am",finished at 1015 for 7.48 abv,[]
20394,35672,jclark1031,"December 27, 2014  6:22pm","Very nice, more of a red thus time (lowwr l of the chocolate). Slightly lower the simcoe at 30, will lower the ibus as well into a good range as well, let more fruit and citrus shine.",[]
20528,35672,jclark1031,"January 10, 2015  2:57pm","has some hot alcohol for some reason, maybe it did get too hot during ferm. still tasty, piney goodness, once it warms you get a bit of hot alc though",[]
