commentId,brewerId,brewerName,date,comment,replyIds
21403,35672,jclark1031,"March 24, 2015  8:46pm","McQuaker’s Oatmeal stout
(5 gallons/19 L, all-grain)
OG = 1.055 (13.5 °P)
FG = 1.016 (4.1 °P)
IBU = 28  SRM = 35  ABV = 5.1%
Ingredients
8.5 lb. (3.85 kg) Thomas Fawcett & Sons Maris Otter pale ale malt
(or similar English pale ale malt)
14.1 oz. (400 g) Great Western flaked oats 1 °L",['22066']
22066,35672,jclark1031,"May 28, 2015  1:49am","8.5 lb. (3.85 kg) Thomas Fawcett & Sons Maris Otter pale ale malt
(or similar English pale ale malt)
14.1 oz. (400 g) Great Western flaked oats 1 °L",['22067']
22067,35672,jclark1031,"May 28, 2015  1:50am",10.6 oz. (300 g) Briess Victory® malt 28 °L 10.6 oz. (300 g) Thomas Fawcett & Sons chocolate malt 350 °L,['22068']
22068,35672,jclark1031,"May 28, 2015  1:50am",7.1 oz. (200 g) Thomas Fawcett & Sons roasted barley 500 °L 7.1 oz. (200 g) Thomas Fawcett & Sons crystal malt 85 °L,['22069']
22069,35672,jclark1031,"May 28, 2015  1:50am",7.5 AAU Kent Goldings pellet hops (60 min.) (1.5 oz./42 g at 5% alpha acids) White Labs WLP002 (English Ale) or Wyeast 1968 (London ESB) yeast,[]
21404,35672,jclark1031,"March 24, 2015  8:49pm","73% MO
7% oats
5% choc
5%  vic
3%  roasted
3%  crystal",[]
21406,35672,jclark1031,"March 24, 2015  8:50pm",2 liquid or 10g dry yeast,[]
22070,35672,jclark1031,"May 28, 2015  1:52am","toast oats at 300 until they begin to slightly color up and nutty aroma, 1.5 qts per lb, 60 min boil,",['22071']
22071,35672,jclark1031,"May 28, 2015  1:52am",goal to ferment at 68,[]
22437,35672,jclark1031,"July 24, 2015  1:04am","actual v 1, i changed the lovibond and AA in the recipe and to match ingrediants, UK crystal was 60 not 80, roast bar was 525, choc was 400, victory was 28, 2 vials of 005, 2 of 023 burton ale.",['22482']
22482,35672,jclark1031,"August 02, 2015  2:18am","base was pale ale malt briess, not maris, 1.5 qts per lb, 163 strike, mash 157, ended up overnight mash, 139, mashout to 178, 1064 og, 10 gallons",[]
22553,35672,jclark1031,"August 15, 2015  1:09pm","1010 for the burton (yeast raft) 1011 for the british,",['22590']
22590,35672,jclark1031,"August 19, 2015  1:24am","1011 just under 7, 1010 just over 7% abv",[]
22862,35672,jclark1031,"October 31, 2015  5:25pm","British is way better than burton, burton is a biy too fruity and brings out the anise flavor, british is so nice and creamy and roasy. Adding 1 oz vanilla extract, 1/2 teaspoon cinnamon, 1/2 teaspoon ginger, 1/4 teaspoon nutmeg into a 3ish gallons",['22863']
22863,35672,jclark1031,"October 31, 2015  5:46pm","2 oz vanilla, not 1,",[]
