commentId,brewerId,brewerName,date,comment,replyIds
17153,32661,asteveoconnor,"February 01, 2014 11:32pm","Finally, 80 extraction!",['17154']
17154,32661,asteveoconnor,"February 01, 2014 11:33pm","...errr?,. That would be, closing-in on 80%",[]
17138,32661,asteveoconnor,"January 31, 2014  6:54pm","White Labs WLP 830 is supposed to be similar if not the exact same yeast as Wyeast 2124: Weihenstephan 34/70. The packaging made for too much yeast sludge in the bottom of the tube, which did not make it into the starter.",['17177']
17177,32661,asteveoconnor,"February 04, 2014 12:13am","46 hours since yeast was pitched, and still no activity: yikes!",['17179']
17179,32661,asteveoconnor,"February 04, 2014  1:16am","It started fermenting around 24-36 hours; the fermentation lock was not assembled correctly; thus, I thought nothing was happening.",['17218']
17218,32661,asteveoconnor,"February 05, 2014 10:43pm","...no, it didn't! This is a long-lag lager thus far; it's been cold, and I way under pitched!
Approaching 100 hours, still no sign of active fermentation.",[]
17180,32661,asteveoconnor,"February 04, 2014  2:47am","...arrrgh!
This is angst lager!",[]
17233,32661,asteveoconnor,"February 07, 2014  5:24pm",Starting to show signs of vigor; it's very cold where it's fermenting.,['17411']
17411,32661,asteveoconnor,"February 21, 2014  8:35pm",The average primary fermentation temperature was ~46F.,[]
17665,32661,asteveoconnor,"March 17, 2014  9:52pm","March 17: primary fermentation complete; transferred cloudy, but tasty beer to a 5-gallon carboy, SG: 1.012",['17785']
17785,32661,asteveoconnor,"March 28, 2014  7:40pm",...moved into a temperature-controlled freezer: ~36F.,[]
21653,32661,asteveoconnor,"April 14, 2015 11:10pm","Lagered for 234 days, then bottled with 4g. of dry yeast.",[]
